TimestampMicroSeconds,X,Y
21718307494,-0.931532,-0.224035
21718322419,-0.933606,-0.220910
21718352499,-0.936806,-0.215247
21718367457,-0.937538,-0.216286
21718398527,-0.938632,-0.220551
21718412518,-0.939342,-0.221974
21718425700,-0.885883,-0.374773
21718442522,-0.880802,-0.373325
21718457446,-0.935838,-0.224410
21718487449,-0.934560,-0.228611
21718502486,-0.934135,-0.230505
21718515734,-0.872833,-0.372162
21718548569,-0.923680,-0.229217
21718560665,-0.857949,-0.364233
21718577463,-0.880618,-0.216444
21718592479,-0.857924,-0.211229
21718605657,-0.783098,-0.348744
21718622458,-0.824145,-0.200922
21718637401,-0.873895,-0.057615
21718650666,-0.742737,-0.330567
21718667366,-0.794716,-0.189010
21718696808,-0.717278,-0.317932
21718712476,-0.773740,-0.181485
21718740745,-0.702692,-0.301901
21718772453,-0.700568,-0.286037
21718785734,-0.697897,-0.283276
21718802487,-0.751035,-0.157600
21718817477,-0.747751,-0.156328
21718848542,-0.743245,-0.155549
21718862491,-0.741171,-0.154310
21718875754,-0.739459,-0.153343
21718892488,-0.737867,-0.152826
21718907484,-0.735333,-0.152661
21718920741,-0.679807,-0.267401
21718937442,-0.729768,-0.147607
21718952460,-0.778732,-0.033083
21718965738,-0.674680,-0.250077
21718998568,-0.772160,-0.026365
21719010752,-0.720174,-0.133282
21719027482,-0.718957,-0.131490
21719042465,-0.718231,-0.130696
21719055734,-0.717516,-0.129770
21719072439,-0.715973,-0.127824
21719087445,-0.714936,-0.124703
21719100803,-0.713796,-0.122243
21719146900,-0.711515,-0.116027
21719162451,-0.686538,-0.119611
21719190795,-0.631416,-0.129293
21719235822,-0.580301,-0.137089
21719252476,-0.512016,-0.260747
21719298546,-0.534536,-0.147181
21719312472,-0.473939,-0.268404
21719325742,-0.520478,-0.148143
21719342481,-0.514365,-0.147692
21719357476,-0.458020,-0.269628
21719370720,-0.506027,-0.149743
21719387481,-0.501952,-0.150147
21719402479,-0.498226,-0.149588
21719415699,-0.494461,-0.149884
21719448569,-0.491882,-0.151899
21719460745,-0.438085,-0.267448
21719477526,-0.495321,-0.153626
21719492445,-0.497266,-0.155332
21719505773,-0.450669,-0.257108
21719522472,-0.503239,-0.153412
21719537440,-0.506029,-0.152538
21719550733,-0.462457,-0.243107
21719567441,-0.508591,-0.150462
21719596852,-0.469619,-0.234173
21719612446,-0.512573,-0.149426
21719627459,-0.513645,-0.148736
21719640782,-0.472268,-0.232186
21719657432,-0.515126,-0.146259
21719672446,-0.515723,-0.145622
21719685752,-0.478360,-0.223799
21719702457,-0.518083,-0.142912
21719717485,-0.519434,-0.141654
21719748586,-0.520462,-0.140395
21719775747,-0.485747,-0.219825
21719792438,-0.525089,-0.144060
21719820774,-0.544090,-0.142908
21719837464,-0.556820,-0.142301
21719852440,-0.566033,-0.139452
