TimestampMicroSeconds,X,Y,UpdateCycle
25425032718,-0.756802,-0.064193,240
25425047651,-0.756513,-0.063604,241
25425060966,-0.755978,-0.063286,241
25425077792,-0.755431,-0.063420,243
25425092763,-0.755498,-0.064126,244
25425105942,-0.755443,-0.064666,244
25425138859,-0.754887,-0.065862,247
25425150909,-0.754999,-0.065666,247
25425167749,-0.754790,-0.063821,248
25425182751,-0.754434,-0.063923,249
25425195896,-0.753911,-0.065268,250
25425212738,-0.753735,-0.067052,251
25425227715,-0.753510,-0.068071,252
25425240904,-0.753736,-0.070418,253
25425257711,-0.753780,-0.097499,254
25425286984,-0.755927,-0.174456,256
25425302747,-0.789739,-0.320625,257
25425317738,-0.795982,-0.518405,258
25425330889,-0.763789,-0.499640,259
25425347741,-0.770308,-0.770541,260
25425362750,-0.778686,-1.235745,261
25426247726,-0.681963,-0.665271,318
25426262726,-0.685878,-0.502037,319
25426275978,-0.688130,-0.411614,320
25426292686,-0.691940,-0.322073,321
25426307697,-0.676730,-0.421681,322
25426338800,-0.676736,-0.363807,324
25426352726,-0.677360,-0.345245,325
25426365937,-0.677734,-0.330911,326
25426382621,-0.678799,-0.315874,327
25426397703,-0.678910,-0.305501,328
25426410907,-0.679629,-0.297641,329
25426427611,-0.680326,-0.289281,330
25426442735,-0.717144,-0.150342,331
25426455960,-0.679316,-0.270650,332
25426488779,-0.714326,-0.106243,334
25426501005,-0.676664,-0.238115,334
