TimestampMicroSeconds,X,Y
28012505986,0.813794,-0.674546
28012519687,0.837204,-0.738567
28012535983,0.823902,-0.709020
28012551021,0.810135,-0.677415
28012564838,0.819813,-0.712670
28012597220,0.808234,-0.723670
28012609760,0.801769,-0.728540
28012626111,0.794441,-0.734112
28012641166,0.790544,-0.736790
28012654742,0.784336,-0.741279
28012671093,0.780430,-0.744861
28012686120,0.780648,-0.746107
28012699770,0.782598,-0.746488
28012716108,0.784879,-0.748096
28012745877,0.789444,-0.744238
28012761073,0.790168,-0.742511
28012776007,0.790876,-0.736729
28012789743,0.790117,-0.727708
28012986046,0.170842,-0.267557
28013001043,0.139638,-0.219886
28013014766,0.104518,-0.187050
28013047086,0.053188,-0.128732
28013059767,0.036232,-0.108558
28013076003,0.017163,-0.086723
28013091138,0.003727,-0.071882
28013104808,-0.007387,-0.059378
28013121113,-0.016546,-0.050160
28013136121,-0.024485,-0.044792
28013149798,-0.030646,-0.038452
28013166125,-0.038556,-0.028882
28013195915,-0.049350,-0.013106
28013211076,-0.054345,-0.006696
28013226121,-0.058024,0.001234
28013239840,-0.061581,0.008634
28013256114,-0.066575,0.013384
28013271084,-0.070111,0.017324
28013284784,-0.101789,0.096815
28013301100,-0.074553,0.023363
28013316076,-0.077669,0.028610
28013347169,-0.081701,0.032423
28013361132,-0.082104,0.033708
28013374825,-0.079677,0.034954
28013391088,-0.073348,0.037929
28013406038,-0.064096,0.042747
28013419932,-0.055649,0.046896
28013436081,-0.047271,0.051597
28013451144,-0.040393,0.054774
28013464830,-0.034648,0.057786
28013497132,-0.023916,0.063963
28013509925,-0.020309,0.065322
28013526124,-0.016316,0.066966
28013541086,0.010850,-0.025757
28013554863,-0.010198,0.068538
28013571066,0.017603,-0.022638
28013586078,0.019986,-0.021684
28013599906,-0.000040,0.072896
28013616107,0.024834,-0.021700
28013645908,0.004250,0.070550
28013661110,0.030401,-0.022259
28013676094,0.033618,-0.018390
28013689783,0.035717,-0.016297
28013706105,0.011722,0.075290
28013721107,0.037214,-0.009640
28013734789,0.014002,0.076864
28013751090,0.015083,0.076388
28013766111,0.016678,0.076590
28013797190,0.018330,0.074666
28013811067,0.018632,0.073236
28013824853,0.019054,0.071445
28013841082,0.019739,0.069145
28013856066,0.020185,0.068108
28013869818,0.020544,0.068068
28013886161,0.021057,0.067765
28013901107,0.021658,0.064477
28013914817,0.022126,0.061454
28013947177,0.023834,0.060097
28013959778,0.024187,0.059892
28013976107,0.024701,0.059153
28013991073,0.024667,0.060141
28014004785,0.024971,0.059868
28014021109,0.024965,0.059751
28014036096,0.024856,0.059729
28014049771,0.024857,0.059703
28014066118,0.025571,0.058875
28014095858,0.025606,0.060553
28014111072,0.025772,0.060155
28014126080,0.025984,0.061068
28014139818,0.026109,0.063157
28014156089,0.026119,0.063790
28014171099,0.026640,0.063321
28014184804,0.029399,0.060663
28014247178,0.044003,0.039245
28014261130,0.140148,0.046864
28014274807,0.234751,0.059620
28014291101,0.311398,0.069434
28014306082,0.362312,0.075159
28014319851,0.396143,0.075924
28014335995,0.429613,0.015456
28014351167,0.454201,0.077789
28014364871,0.472976,0.076934
28014397073,0.508994,0.080371
28014409639,0.522993,0.081368
28014425965,0.533883,0.081042
28014441023,0.542459,0.080750
28014454653,0.548622,0.080614
28014470999,0.554640,0.079678
28014486029,0.560612,0.080849
28014499664,0.565230,0.082010
28014516047,0.569261,0.081552
28014545769,0.575083,0.081947
28014561090,0.576887,0.082794
28014576087,0.577828,0.082978
28014589665,0.607547,0.033571
28014606096,0.580998,0.080753
28014621103,0.582615,0.078879
28014634652,0.613095,0.031381
28014651102,0.584818,0.079809
28014666072,0.585138,0.079513
28014697198,0.585049,0.079142
28014711059,0.585503,0.079415
28014724724,0.613159,0.029345
28014741094,0.585911,0.072741
28014756091,0.587112,0.072676
28014769663,0.614350,0.025831
28014786025,0.590067,0.079608
28014800992,0.591694,0.083165
28014814696,0.593145,0.084798
28014847141,0.595819,0.087074
28014859791,0.596464,0.088687
28014876087,0.596656,0.089262
28014891083,0.596337,0.089166
28014904728,0.625573,0.048674
28014921089,0.598674,0.091941
28014936088,0.598913,0.089651
28014949725,0.626076,0.040795
28014966093,0.599887,0.090283
28014995787,0.627174,0.038506
28015011094,0.599459,0.087008
28015026103,0.597958,0.086262
28015039747,0.625602,0.036212
28015056084,0.596843,0.086245
28015071029,0.596533,0.086064
28015084736,0.626147,0.036716
28015101093,0.595191,0.085978
28015116057,0.595258,0.086290
28015147165,0.564964,0.133679
28015161059,0.595059,0.088076
28015174734,0.626989,0.040552
28015191053,0.562030,0.132919
28015206080,0.595630,0.085868
28015219621,0.629436,0.038678
28015236042,0.562697,0.133329
28015251045,0.596371,0.082915
28015264743,0.629818,0.029044
28015297135,0.597214,0.080590
28015309715,0.632985,0.026447
28015326077,0.597735,0.081463
28015341079,0.597578,0.082574
28015354731,0.632894,0.031072
28015371066,0.597382,0.083325
28015386056,0.593197,0.081140
28015399721,0.612132,0.038712
28015416081,0.521697,0.087298
28015445775,0.354500,0.093283
28015461078,0.288388,0.095047
28015476085,0.234838,0.095442
28015489678,0.198878,0.096742
28015506052,0.163728,0.098627
28015521052,0.106269,0.144294
28015534720,0.115376,0.101430
28015551049,0.093315,0.102455
28015566077,0.048857,0.118038
28015597149,-0.061220,0.151655
28015611066,-0.192575,0.188875
28015624750,-0.250415,0.162660
28015641058,-0.359851,0.237324
28015656045,-0.416723,0.260146
28015669798,-0.419500,0.225610
28015686004,-0.492158,0.294641
28015701080,-0.521067,0.306644
28015714765,-0.499643,0.257262
28015747132,-0.569545,0.334359
28015759725,-0.535653,0.265282
28015776068,-0.586446,0.340113
28015791059,-0.592657,0.341578
28015804748,-0.596651,0.335680
28015821056,-0.599242,0.309424
28015836092,-0.597190,0.279287
28015866042,-0.594388,0.234957
28015895805,-0.637566,0.284251
28015911043,-0.591788,0.189935
28015926070,-0.591770,0.178306
28015939747,-0.591711,0.168622
28015956068,-0.590484,0.158615
28015971016,-0.589344,0.149467
28015984685,-0.540578,0.057033
